# Cash Shop catalogue, generated from the STOCK v83 Etc/Commodity.img.
# The ITEM ID is the key: one row per item, no serial numbers.
# itemId	price	count	tab	category	period	gender	name
1000000	3000	1	2	0	0	0	Blue Beanie
1000001	3500	1	2	0	0	2	Fine Black Hanbok Hat
1000002	3500	1	2	0	0	2	Fine Blue Hanbok Hat
1000004	4000	1	2	0	0	2	Old School Uniform Hat
1000005	3500	1	2	0	0	2	Men's Ninja Hat
1000006	5000	1	2	0	0	2	Samurai Hair-do
1000007	2700	1	2	0	0	2	Hat of Death
1000008	2400	1	2	0	0	0	Detective Hat
1000009	2900	1	2	0	0	2	Mesoranger Red Helmet
1000010	2900	1	2	0	0	2	Mesoranger Blue Helmet
1000013	3300	1	2	0	0	2	Yellow Crown
1000018	4300	1	2	0	0	2	Kuniragi Hat
1000020	4100	1	2	0	0	0	Chief Hat
1000023	3700	1	2	0	0	2	Race Ace Cap
1000027	3500	1	2	0	0	0	Lunar Celebration Cap
1001000	4100	1	2	0	0	1	Orange Beanie
1001001	3800	1	2	0	0	1	Hanbok Jobawi
1001002	4300	1	2	0	0	1	Witch Hat
1001003	2700	1	2	0	0	2	Pink Nurse Hat
1001004	2700	1	2	0	0	2	White Nurse Hat
1001005	3500	1	2	0	0	2	Women's Ninja Hat
1001006	3500	1	2	0	0	2	SF Ninja Hat
1001009	3000	1	2	0	0	2	Ribbon
1001010	2500	1	2	0	0	2	Teddy Bear Hat
1001011	2400	1	2	0	0	2	Strawberry Headgear
1001013	3900	1	2	0	0	1	Beret
1001016	2900	1	2	0	0	2	Mesoranger Black Helmet
1001017	3700	1	2	0	0	2	Princess Tiara
1001019	3700	1	2	0	0	1	Lady Pink
1001021	2600	1	2	0	0	2	The Gabera Hat
1001023	4100	1	2	0	0	2	Picnic Hat
1001024	3700	1	2	0	0	2	Diamond Tiara
1001025	3700	1	2	0	0	2	Ruby Tiara
1001029	3700	1	2	0	0	2	Yellow Bride's Veil
1001030	3200	1	2	0	0	2	Diao Chan Headpiece
1001031	2500	1	2	0	0	2	White Cat Ears
1001032	2500	1	2	0	0	2	Black Cat Ears
1001037	3100	1	2	0	0	2	Leopard Print Hat
1001039	3500	1	2	0	0	1	Lunar Celebration Ornament
1001042	3700	1	2	0	0	2	Purple Bride's Veil
1001043	3900	1	2	0	0	2	Royal Tiara
1001044	3700	1	2	0	0	2	Green Bride's Veil
1001048	3000	1	2	0	0	2	Gothic Mini Hat
1001049	3000	1	2	0	0	2	Gothic Headband
1001055	3000	1	2	0	0	2	Frilly Pink Cap
1002000	3700	1	2	0	0	2	Brown Flight Headgear
1002018	2100	1	2	0	0	2	Green Camping Hat
1002031	3900	1	2	0	0	2	Cat Hat
1002032	2700	1	2	0	0	2	Puffy Brown Hat
1002071	2400	1	2	0	0	2	Blue Swimming Goggle
1002077	3700	1	2	0	0	2	Blue Flight Headgear
1002186	1800	1	2	0	0	2	Transparent Hat
1002192	3000	1	2	0	0	2	The Chinese Undead's Hat (Blue)
1002193	3000	1	2	0	0	2	The Chinese Undead's Hat (Maroon)
1002200	1800	1	2	0	0	2	Green Visor
1002201	1800	1	2	0	0	2	Sky Blue Visor
1002220	1800	1	2	0	0	2	Black Slanted Visor
1002228	3000	1	2	0	0	2	Cabbie
1002229	2100	1	2	0	0	2	Goggled Red Cap
1002230	2100	1	2	0	0	2	Goggled Black Cap
1002231	2100	1	2	0	0	2	Goggled Blue Cap
1002232	3500	1	2	0	0	2	Starry Red Beanie
