# message.txt 中有、但 wz-zh-CN/Mob.wz 没有的 dropperid（对照 V1.11.19 已插入批次）
# total_droppers=254 missing=130 present=124
# format: <mobId>  # <家族>
2400300  # 雾都/流民区(刺猬·海狸鼠·废料) / Hedgehog Card
2400301  # 雾都/流民区(刺猬·海狸鼠·废料) / Mutant Hedgehog Card
2400302  # 雾都/流民区(刺猬·海狸鼠·废料) / Nutria Card
2400303  # 雾都/流民区(刺猬·海狸鼠·废料) / Market Hoodlum Card
2400304  # 雾都/流民区(刺猬·海狸鼠·废料) / Ooze Waster Card
2400305  # 雾都/流民区(刺猬·海狸鼠·废料) / Flame Waste Card
2400306  # 雾都/流民区(刺猬·海狸鼠·废料) / Scrap Iron Waste Card
2400307  # 雾都/流民区(刺猬·海狸鼠·废料) / Specter Stray Dog Card
2400308  # 雾都/流民区(刺猬·海狸鼠·废料) / Mutant Nutria Card
2400309  # 雾都/流民区(刺猬·海狸鼠·废料) / Dumpy Hoodlum Card
2400310  # 雾都/流民区(刺猬·海狸鼠·废料) / Mutant Specter Stray Dog Card
2400311  # 雾都/流民区(刺猬·海狸鼠·废料) / Hazard&apos;s Rotten Crony Card
2400312  # 雾都/流民区(刺猬·海狸鼠·废料) / Hazard&apos;s Mean Crony Card
2400330  # 雾都/流民区(刺猬·海狸鼠·废料) / Prickly Hedgehog Card
2400331  # 雾都/流民区(刺猬·海狸鼠·废料) / Foul Ooze Waste Card
2400332  # 雾都/流民区(刺猬·海狸鼠·废料) / Sketchy Hooligan Card
2400333  # 雾都/流民区(刺猬·海狸鼠·废料) / Dangerous Nutria Card
2400334  # 雾都/流民区(刺猬·海狸鼠·废料) / Hazard&apos;s Grubby Crony Card
2400335  # 雾都/流民区(刺猬·海狸鼠·废料) / Mangy Spectral Mutt Card
2400336  # 雾都/流民区(刺猬·海狸鼠·废料) / Blob Glooger
2400337  # 雾都/流民区(刺猬·海狸鼠·废料) / Spine Glooger
2400350  # 沙漠绿洲(沙漠菇·沙龟) / Desert Mush Card
2400351  # 沙漠绿洲(沙漠菇·沙龟) / Ferocious Desert Mush Card
2400352  # 沙漠绿洲(沙漠菇·沙龟) / Sand Tortoise Card
2400353  # 沙漠绿洲(沙漠菇·沙龟) / Crystal Sand Tortoise Card
2400354  # 沙漠绿洲(沙漠菇·沙龟) / Crystal Hermit Crab Card
2400355  # 沙漠绿洲(沙漠菇·沙龟) / Bomber Hermit Crab Card
2400356  # 沙漠绿洲(沙漠菇·沙龟) / Gale Fox Card
2400357  # 沙漠绿洲(沙漠菇·沙龟) / Ferocious Gale Fox Card
2400358  # 沙漠绿洲(沙漠菇·沙龟) / Sand Helm Card
2400359  # 沙漠绿洲(沙漠菇·沙龟) / Sand Armor Card
2400363  # 沙漠绿洲(沙漠菇·沙龟) / Illusion Soldier A Card
2400364  # 沙漠绿洲(沙漠菇·沙龟) / Illusion Soldier B Card
2400400  # 宝石原石族 / Green Grossular Card
2400401  # 宝石原石族 / Purple Amethyst Card
2400402  # 宝石原石族 / Fire Pyrope Card
2400403  # 宝石原石族 / Dark Obsidian Card
2400404  # 宝石原石族 / Shining Gold Card
2400405  # 宝石原石族 / Shining Vinegold Card
2400406  # 宝石原石族 / Blue Larimar Card
2400551  # 酒店阿克斯(食材/罐瓮) / Sikhye Crock Card
2400552  # 酒店阿克斯(食材/罐瓮) / Broken Sikhye Crock Card
2400553  # 酒店阿克斯(食材/罐瓮) / Jar of Stagnant Water Card
2400554  # 酒店阿克斯(食材/罐瓮) / Rolling Gourd Card
2400555  # 酒店阿克斯(食材/罐瓮) / Chunky Striple Gourd Card
2400556  # 酒店阿克斯(食材/罐瓮) / Sewer Rat Card
2400557  # 酒店阿克斯(食材/罐瓮) / Vicious Sewer Rat Card
2400600  # 酒店街巷/伯爵随从 / Back Alley Cat Card
2400601  # 酒店街巷/伯爵随从 / Town Square Pot Card
2400602  # 酒店街巷/伯爵随从 / Monstrous News Machine Card
2400603  # 酒店街巷/伯爵随从 / Torchlighter Card
2400604  # 酒店街巷/伯爵随从 / Count&apos;s Wizard Card
2400605  # 酒店街巷/伯爵随从 / Count&apos;s Swordman Card
2400651  # 奥迪乌姆实验室(机器人/Drakas) / Agile Biter Card
2400652  # 奥迪乌姆实验室(机器人/Drakas) / Nimble Biter Card
2400653  # 奥迪乌姆实验室(机器人/Drakas) / Guard Robot D2-78 Card
2400654  # 奥迪乌姆实验室(机器人/Drakas) / Guard Robot C1-49 Card
2400655  # 奥迪乌姆实验室(机器人/Drakas) / Bulky Biter Card
2400656  # 奥迪乌姆实验室(机器人/Drakas) / Huge Biter Card
2400657  # 奥迪乌姆实验室(机器人/Drakas) / Skilled Drakas Card
2400658  # 奥迪乌姆实验室(机器人/Drakas) / Adept Drakas Card
8641003  # 月亮桥(Erda) / Joyful Erda Card
8641008  # 月亮桥(Erda) / Lantern Erda Card
8641009  # 月亮桥(Erda) / Arma&apos;s Follower Card
8642000  # 苦痛迷宫外围/森林 / Pinedeer Card
8642001  # 苦痛迷宫外围/森林 / Bighorn Pinedeer Card
8642002  # 苦痛迷宫外围/森林 / Ewenana Card
8642003  # 苦痛迷宫外围/森林 / Ramanana Card
8642004  # 苦痛迷宫外围/森林 / Flyon Card
8642005  # 苦痛迷宫外围/森林 / Angry Flyon Card
8642006  # 苦痛迷宫外围/森林 / Unripe Wolfruit Card
8642007  # 苦痛迷宫外围/森林 / Ripe Wolfruit Card
8642008  # 苦痛迷宫外围/森林 / Green Catfish Card
8642009  # 苦痛迷宫外围/森林 / Blue Catfish Card
8642010  # 苦痛迷宫外围/森林 / Rhyturtle Card
8642011  # 苦痛迷宫外围/森林 / Rhyturtle Boss Card
8642012  # 苦痛迷宫外围/森林 / Crilia Card
8642013  # 苦痛迷宫外围/森林 / Patriarch Crilia Card
8642014  # 苦痛迷宫外围/森林 / Birdshark Card
8642015  # 苦痛迷宫外围/森林 / Patriarch Birdshark Card
8642050  # 真希拉丛林 / Monkeyrog Card
8642051  # 真希拉丛林 / Bushroom Card
8642052  # 真希拉丛林 / Lytone Card
8642053  # 真希拉丛林 / Stonepy Card
8642054  # 真希拉丛林 / Kumpider Card
8642055  # 真希拉丛林 / Squirrelnon Card
8642100  # 赛拉斯星座怪 / Veritate Card
8642101  # 赛拉斯星座怪 / Volar Card
8642102  # 赛拉斯星座怪 / Oceanleli Card
8642103  # 赛拉斯星座怪 / Hyades Card
8642104  # 赛拉斯星座怪 / Denebola Card
8642105  # 赛拉斯星座怪 / Lili Borea
8642106  # 赛拉斯星座怪 / Angelus Card
8644000  # 利曼神殿尽头 / Water Spirit Card
8644002  # 利曼神殿尽头 / Earth Spirit Card
8644004  # 利曼神殿尽头 / Thunder Cloud Spirit Card
8644006  # 利曼神殿尽头 / Volatile Spirit Card
8644009  # 利曼神殿尽头 / Mournful Spirit Card
8644400  # 监视者/命运高地 / Xenoroid Type A Card
8644401  # 监视者/命运高地 / Xeneroid Type B Card
8644402  # 监视者/命运高地 / Nameless Cat Card
8644403  # 监视者/命运高地 / Strong Gangster Card
8644404  # 监视者/命运高地 / Powerful Gangster Card
8644405  # 监视者/命运高地 / Blue Shadow Card
8644406  # 监视者/命运高地 / Red Shadow Card
8644407  # 监视者/命运高地 / Experiment Gone Wrong Card
8644408  # 监视者/命运高地 / Big Experiment Gone Wrong Card
8644409  # 监视者/命运高地 / Thralled Guard Card
8644410  # 监视者/命运高地 / Thralled Warhammer Knight Card
8644411  # 监视者/命运高地 / Thralled Wizard Card
8644412  # 监视者/命运高地 / Thralled Archer Card
8644614  # 塞拉斯深度/神殿 / Soot Beast Card
