chain	stage	id	name	source	sizeKB
1	1	5000765	粉嫩刺猬	live	42.8
1	2	5000766	天蓝刺猬	live	42.4
1	3	5000767	蛋黄刺猬	live	42.7
2	1	5000772	珊珊	live	87.7
2	2	5000773	纳利	live	88.2
2	3	5000774	白露	live	88.2
3	1	5000918	神秘	live	168.5
3	2	5000919	云云	live	158.6
3	3	5000920	闪闪	live	166.1
4	1	5000933	彭彭	live	78.2
4	2	5000934	平平	live	191.4
4	3	5000935	风风	live	88.4
5	1	5000963	赛瑞纳	live	228.5
5	2	5000964	宇宙兔	live	174.6
5	3	5000965	紫晶	live	187.5
6	1	5002030	玉子烧	live	19.1
6	2	5002031	章鱼香肠	live	22.1
6	3	5002032	饭团	live	20.6
7	1	5002033	利斯	bms	25.8
7	2	5002034	哈斯	bms	25.8
7	3	5002035	尼克斯	bms	25.8
8	1	5002048	小乌帕	live	40.6
8	2	5002049	小镥	live	40.6
8	3	5002050	小葱	live	40.0
9	1	5002057	桃子刺猬	live	43.5
9	2	5002058	蓝莓刺猬	live	43.3
9	3	5002059	樱桃刺猬	live	42.8
10	1	5002076	蓝幽灵宠物	bms	19.0
10	2	5002077	绿幽灵宠物	bms	19.0
10	3	5002078	黄幽灵宠物	bms	19.0
11	1	5002082	金金	bms	25.8
11	2	5002083	银银	bms	25.8
11	3	5002084	乖乖	bms	25.8
12	1	5002096	未熟的烤棉花糖宠物	bms	19.1
12	2	5002097	熟透的烤棉花糖宠物	bms	19.1
12	3	5002098	烧焦的烤棉花糖宠物	bms	19.1
13	1	5002110	娇小白猫宠物	live	140.9
13	2	5002111	娇小棕纹猫宠物	live	164.9
13	3	5002112	娇小黑猫宠物	bms	19.0
14	1	5002137	布朗	bms	25.9
14	2	5002138	奶霜	bms	25.8
14	3	5002139	雪娃娃	bms	25.8
15	1	5002143	潦草花蘑菇	bms	16.7
15	2	5002144	潦草企鹅王	bms	16.7
15	3	5002145	潦草蜗牛	bms	16.7
16	1	5002150	未熟的樱桃	bms	7.5
16	2	5002151	熟透的樱桃	bms	7.5
16	3	5002152	过熟的樱桃	bms	7.5
17	1	5002161	绿绿龙	bms	25.8
17	2	5002162	紫紫龙	bms	25.8
17	3	5002163	蓝蓝龙	bms	25.8
18	1	5002166	小小白鲸	bms	19.0
18	2	5002167	小小黑鲸	bms	19.0
18	3	5002168	小小粉鲸	bms	19.0
19	1	5002186	樱桃小鸡	bms	25.8
19	2	5002187	蓝莓小鸡	bms	25.8
19	3	5002188	野樱莓小鸡	bms	25.8
20	1	5002191	小蓝色分身宠物	bms	19.0
20	2	5002192	小紫色分身宠物	bms	19.0
20	3	5002193	小橙色分身宠物	bms	19.0
21	1	5002200	梦狐银河	bms	25.8
21	2	5002201	梦狐夏浪	bms	25.8
21	3	5002202	梦狐朗月	bms	25.8
22	1	5002205	白头鸦雀	bms	19.0
22	2	5002206	棕头鸦雀	bms	19.0
22	3	5002207	斑纹鸦雀	bms	19.0
23	1	5002214	小黄牛	bms	7.5
23	2	5002215	小白牛	bms	7.5
23	3	5002216	小花牛	bms	7.5
24	1	5002223	敏捷云朵	bms	7.5
24	2	5002224	机灵云朵	bms	7.5
24	3	5002225	愉悦太阳	bms	7.5
25	1	5002226	雪花喵	bms	25.8
25	2	5002227	兔兔喵	bms	25.8
25	3	5002228	熊猫喵	bms	25.8
26	1	5002243	小卢斯狼	bms	25.8
26	2	5002244	小穆托	bms	25.8
26	3	5002245	小兰纳纳	bms	25.8
27	1	5002251	黄色狐狸	bms	7.5
27	2	5002252	褐色狐狸	bms	7.5
27	3	5002253	白色狐狸	bms	7.5
28	1	5002267	小褐沙沙兔	bms	7.5
28	2	5002268	小母沙沙兔	bms	7.5
28	3	5002269	小仙人掌宝宝	bms	7.5
29	1	5002045	清澈蓝药水	live	55.8
29	2	5002046	爱心红药水	live	55.8
29	3	5002047	暖心橙药水	live	53.6
30	1	5002287	毛绒棕熊	bms	7.5
30	2	5002288	毛绒粉熊	bms	7.5
30	3	5002289	毛绒紫熊	bms	7.5
31	1	5002082	金金	bms	25.8
31	2	5002083	银银	bms	25.8
31	3	5002084	乖乖	bms	25.8
32	1	5002369	什锦串烧	bms	7.5
32	2	5002370	炙烤肋排	bms	7.5
32	3	5002371	带骨烤肉	bms	7.5
33	1	5002359	粉色棉绒宠物	bms	7.5
33	2	5002360	黄色棉绒宠物	bms	7.5
33	3	5002361	蓝色棉绒宠物	bms	7.5
34	1	5002387	小狄尼夫	bms	19.0
34	2	5002388	小内卡尔	bms	19.0
34	3	5002389	小阿尔法	bms	19.0
35	1	5002273	粉桃泡泡	bms	25.7
35	2	5002274	绿叶泡泡	bms	25.7
35	3	5002275	薄荷泡泡	bms	25.7
36	1	5002211	幸福甜根菜	bms	19.0
36	2	5002212	幸福胡萝卜	bms	19.0
36	3	5002213	幸福大青葱	bms	19.0
37	1	5000979	睡喵喵	live	57.5
37	2	5000980	困喵喵	live	61.1
37	3	5000981	呼噜喵	live	59.0
38	1	5002543	草莓棉花糖	bms	7.5
38	2	5002544	海盐棉花糖	bms	7.5
38	3	5002545	抹茶棉花糖	bms	7.5
39	1	5002534	咕皮宠物	bms	7.5
39	2	5002535	哆皮宠物	bms	7.5
39	3	5002536	哩皮宠物	bms	7.5
